Time,VehicleID,Speed,BrakeStatus,Phase,Direction,HardBraking,NEWS_Score,Speed_Normalized
1970-01-01 00:00:00.000000039,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000039,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000039,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000039,3,10.0,0,NS_Green,South,0,0,0.7199424046076314
1970-01-01 00:00:00.000000039,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000039,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000040,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000040,3,11.5,0,NS_Green,South,0,0,0.827933765298776
1970-01-01 00:00:00.000000040,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000040,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000040,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000040,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000040,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000040,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000041,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000041,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000041,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000041,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000041,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000041,7,11.39,0,NS_Green,North,0,0,0.8200143988480921
1970-01-01 00:00:00.000000041,3,12.5,0,NS_Green,West,0,0,0.8999280057595392
1970-01-01 00:00:00.000000041,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000041,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000042,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000042,7,8.89,1,NS_Green,North,0,4,0.6400287976961844
1970-01-01 00:00:00.000000042,3,12.5,0,NS_Green,West,0,0,0.8999280057595392
1970-01-01 00:00:00.000000042,4,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000042,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000042,5,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000042,7,6.39,1,NS_Green,North,0,4,0.4600431965442764
1970-01-01 00:00:00.000000042,4,1.5,1,NS_Green,East,0,4,0.1079913606911447
1970-01-01 00:00:00.000000042,6,0.0,1,NS_Green,East,0,4,0.0
1970-01-01 00:00:00.000000043,5,13.89,0,NS_Green,North,0,0,1.0
